2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO - Logging to file: logs/populate_atoms_20250822_094647.log
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO - Starting populate_atomsdeps_grouped_rust.py with parameters:
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   repo_id: 3246
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   json_path: /var/www/html/rust-atomizer/3246.json
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   user_id: 460176
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   JSON file exists: True
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   JSON file size: 163812 bytes
2025-08-22 09:46:47,203 - PopulateAtomsDeps - INFO -   JSON file modified: 2025-08-22 09:46:46.664842
2025-08-22 09:46:47,206 - PopulateAtomsDeps - INFO - Identified 7 folders containing Rust files
2025-08-22 09:46:47,206 - PopulateAtomsDeps - INFO - Populating folder structure with 7 folders as molecules for repo 3246
2025-08-22 09:46:47,207 - PopulateAtomsDeps - INFO - All folders to create (including parents): ['curve25519-dalek', 'curve25519-dalek/src', 'curve25519-dalek/src/backend', 'curve25519-dalek/src/edwards', 'curve25519-dalek/src/backend/serial', 'curve25519-dalek/src/backend/serial/scalar_mul', 'curve25519-dalek/src/backend/serial/curve_models', 'curve25519-dalek/src/backend/serial/u64']
2025-08-22 09:46:47,252 - PopulateAtomsDeps - INFO - Adding 24 new file molecules in batch
2025-08-22 09:46:47,266 - PopulateAtomsDeps - INFO - Successfully populated 32 folder and file molecules for repo 3246
2025-08-22 09:46:47,799 - PopulateAtomsDeps - INFO - !!!!!Code ID 66039: filename='rust/net/tests/chat_connect_timing.rs', folder_id=16346, folder_path='rust/net/tests'
2025-08-22 09:46:47,799 - PopulateAtomsDeps - INFO - !!!!!Code ID 66040: filename='rust/net/tests/dns_lookup.rs', folder_id=16346, folder_path='rust/net/tests'
2025-08-22 09:46:47,799 - PopulateAtomsDeps - INFO - !!!!!Code ID 66041: filename='rust/net/tests/cdsi_connect.rs', folder_id=16346, folder_path='rust/net/tests'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66042: filename='rust/net/tests/fake_transport/connector.rs', folder_id=16347, folder_path='rust/net/tests/fake_transport'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66043: filename='rust/net/tests/fake_transport/target.rs', folder_id=16347, folder_path='rust/net/tests/fake_transport'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66044: filename='rust/net/tests/fake_transport/behavior.rs', folder_id=16347, folder_path='rust/net/tests/fake_transport'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66045: filename='rust/net/tests/fake_transport/mod.rs', folder_id=16347, folder_path='rust/net/tests/fake_transport'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66046: filename='rust/net/tests/fake_transport/connector/replace.rs', folder_id=16348, folder_path='rust/net/tests/fake_transport/connector'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66047: filename='rust/net/tests/data/chat_search_response.dat', folder_id=16349, folder_path='rust/net/tests/data'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66048: filename='rust/net/chat/examples/fetch_profile_key_credential.rs', folder_id=16351, folder_path='rust/net/chat/examples'
2025-08-22 09:46:47,800 - PopulateAtomsDeps - INFO - !!!!!Code ID 66049: filename='rust/net/chat/examples/look_up_username.rs', folder_id=16351, folder_path='rust/net/chat/examples'
